time	I(D1)
0.000000000000000e+000	1.133020e+000
1.953124988129940e-011	1.133019e+000
3.906249976259879e-011	1.133019e+000
7.812499952519758e-011	1.133019e+000
1.562499990503952e-010	1.133019e+000
1.156249992972925e-008	1.133019e+000
2.296874986040810e-008	1.133019e+000
3.437499979108695e-008	1.133019e+000
4.578124972176580e-008	1.133019e+000
5.718749965244464e-008	1.133019e+000
6.859374958312350e-008	1.133019e+000
7.999999951380232e-008	1.133018e+000
6.399999961104186e-007	1.133017e+000
4.513124984441674e-006	1.133018e+000
8.000000000000000e-006	1.133018e+000
8.004356097569134e-006	1.133018e+000
8.013068292707406e-006	1.133018e+000
8.030492682983948e-006	1.133028e+000
8.065341463537033e-006	1.133157e+000
8.114774618545731e-006	1.133808e+000
8.164179647406543e-006	1.135580e+000
8.223169451722262e-006	1.140340e+000
8.301520101872610e-006	1.152919e+000
8.416605331026328e-006	1.186224e+000
8.586523466856976e-006	1.263181e+000
8.780143221466180e-006	1.382540e+000
8.969578798807751e-006	1.523131e+000
9.088101770027247e-006	1.620464e+000
9.195217580751386e-006	1.714628e+000
9.409449202199662e-006	1.909876e+000
9.571536757103446e-006	2.057817e+000
9.675824890192432e-006	2.151278e+000
9.791423733822026e-006	2.250701e+000
9.999999999999999e-006	2.423020e+000
1.002085762661780e-005	2.439544e+000
1.006257287985339e-005	2.471303e+000
1.014600338632458e-005	2.528789e+000
1.027710877372860e-005	2.602294e+000
1.045287378909013e-005	2.672473e+000
1.059930532306554e-005	2.705169e+000
1.077483174336160e-005	2.713297e+000
1.097475693156254e-005	2.689620e+000
1.126223382152197e-005	2.616168e+000
1.157579644769534e-005	2.507922e+000
1.204856930902628e-005	2.326037e+000
1.257769827610371e-005	2.127953e+000
1.314817664879653e-005	1.937416e+000
1.379805907584309e-005	1.755581e+000
1.457133938001823e-005	1.583106e+000
1.548186870094820e-005	1.429046e+000
1.659951019965655e-005	1.281258e+000
1.664628995051778e-005	1.275910e+000
1.673984945224024e-005	1.266238e+000
1.692696845568517e-005	1.248747e+000
1.730120646257502e-005	1.218342e+000
1.800000000000000e-005	1.167758e+000
1.806987935374249e-005	1.161031e+000
1.820963806122749e-005	1.140513e+000
1.839685363663115e-005	1.094836e+000
1.857538825732165e-005	1.034580e+000
1.866338996729357e-005	1.001838e+000
